name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health,introduction-statistics-data-analysis-public-health,4.67515923566879,471.0,28.784857168278965,0.5699376397297644
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,https://www.coursera.org/learn/covid-19-contact-tracing-for-nursing-professionals,covid-19-contact-tracing-for-nursing-professionals,3.909090909090909,11.0,9.71372599462582,0.19233092017769796
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,https://www.coursera.org/learn/high-stakes-leadership,high-stakes-leadership,4.777777777777778,81.0,21.05432529248477,0.4168737886434649
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,aws-fundamentals-addressing-security-risk,4.162698412698413,756.0,27.59603989228525,0.5463991622452734
Spanish for Successful Communication in Healthcare Settings,Rice University,https://www.coursera.org/learn/spanish-in-healthcare-settings,spanish-in-healthcare-settings,4.0,8.0,8.788898309344878,0.17401941336617133
Leading transformations: Manage change,Macquarie University,https://www.coursera.org/learn/change-management,change-management,4.3090909090909095,165.0,22.02802010619093,0.4361528602989725
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),https://www.coursera.org/learn/systems-engineering,systems-engineering,4.775,240.0,26.18990535741788,0.5185578221524701
Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/marketing-analytics,marketing-analytics,,,0.0,0.0
Data Visualization and Communication with Tableau,Duke University,https://www.coursera.org/learn/analytics-tableau,analytics-tableau,,,0.0,0.0
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",https://www.coursera.org/learn/mcmc-bayesian-statistics,mcmc-bayesian-statistics,4.804416403785489,317.0,27.683294182883945,0.5481267895233728
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/introduction-to-computers-and-office-productivity-software,introduction-to-computers-and-office-productivity-software,4.6,105.0,21.451819832915508,0.42474414557642265
Intercultural Management,ESCP Business School,https://www.coursera.org/learn/intercultural,intercultural,4.313725490196078,153.0,21.728030833941144,0.43021309909846506
Global Financial Markets and Instruments,Rice University,https://www.coursera.org/learn/global-financial-markets-instruments,global-financial-markets-instruments,4.282868525896414,753.0,28.375684444655587,0.5618360557969215
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,https://www.coursera.org/learn/python-plotting,python-plotting,4.361575178997613,2514.0,34.15125613563387,0.6761918672015962
Excel Skills for Business: Advanced,Macquarie University,https://www.coursera.org/learn/excel-advanced,excel-advanced,4.684210526315789,2394.0,36.44849091453717,0.7216769137362757
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,https://www.coursera.org/learn/neuroeconomics,neuroeconomics,4.629987908101572,827.0,31.10894965917915,0.615954466599311
