name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,https://www.coursera.org/learn/manage-health-covid-19,manage-health-covid-19,4.838876570583888,4059.0,40.205926636913944
Politics and Economics of International Energy,Sciences Po,https://www.coursera.org/learn/global-energy,global-energy,4.721111111111111,900.0,32.120104266197586
Continuous Delivery & DevOps,University of Virginia,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,uva-darden-continous-delivery-devops,4.548523206751055,711.0,29.87505480380637
Business Model Innovation,HEC Paris,https://www.coursera.org/learn/business-model,business-model,4.698630136986301,219.0,25.342660936970685
Introduction to User Experience Principles and Processes,University of Michigan,https://www.coursera.org/learn/introtoux-principles-and-processes,introtoux-principles-and-processes,4.785063752276867,549.0,30.19336123297096
Process Mining: Data science in Action,Eindhoven University of Technology,https://www.coursera.org/learn/process-mining,process-mining,4.785992217898833,514.0,29.884534193838114
Introduction to Corporate Finance,University of Pennsylvania,https://www.coursera.org/learn/wharton-finance,wharton-finance,4.443579766536965,2313.0,34.423225605660065
Algorithmic Toolbox,University of California San Diego,https://www.coursera.org/learn/algorithmic-toolbox,algorithmic-toolbox,4.529933481152994,5412.0,38.941839289814254
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,https://www.coursera.org/learn/crash-course-in-causality,crash-course-in-causality,4.655555555555556,270.0,26.080975399428834
English for Business and Entrepreneurship,University of Pennsylvania,https://www.coursera.org/learn/business,business,4.8758465011286685,2658.0,38.44948904082376
Natural Language Processing with Attention Models,DeepLearning.AI,https://www.coursera.org/learn/attention-models-in-nlp,attention-models-in-nlp,3.326530612244898,49.0,13.013464283363016
Data Visualization with Python,IBM,https://www.coursera.org/learn/python-for-data-visualization,python-for-data-visualization,4.057674702471773,3277.0,32.846831105420286
Data-driven Decision Making,PwC,https://www.coursera.org/learn/decision-making,decision-making,4.517316017316017,2772.0,35.81185863679681
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,https://www.coursera.org/learn/fe-exam,fe-exam,4.430051813471502,386.0,26.396130116789966
Managerial Accounting Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-managerial-accounting,uva-darden-managerial-accounting,4.87012987012987,231.0,26.526318368504754
International Security Management,Erasmus University Rotterdam,https://www.coursera.org/learn/international-security-management,international-security-management,4.610169491525424,177.0,23.888900435244867
Getting Started with AWS Machine Learning,Amazon Web Services,https://www.coursera.org/learn/aws-machine-learning,aws-machine-learning,4.405187835420394,3354.0,35.762226939466444
Arts and Heritage Management,Università Bocconi,https://www.coursera.org/learn/arts-heritage,arts-heritage,4.793478260869565,552.0,30.272531289905977
Equine Welfare and Management,"University of California, Davis",https://www.coursera.org/learn/equine,equine,4.949367088607595,158.0,25.08786763377355
Introduction to Web Development,"University of California, Davis",https://www.coursera.org/learn/web-development,web-development,4.6602634467618005,1822.0,34.990370711194586
Engineering Project Management: Initiating and Planning,Rice University,https://www.coursera.org/learn/initiating-planning,initiating-planning,4.795234549516009,1343.0,34.542019028872026
Kotlin for Java Developers,JetBrains,https://www.coursera.org/learn/kotlin-for-java-developers,kotlin-for-java-developers,4.5473251028806585,729.0,29.98071691451602
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,https://www.coursera.org/learn/multivariate-calculus-machine-learning,multivariate-calculus-machine-learning,4.716243654822335,1970.0,35.77882182221113
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/aprendiendo-programar-python,aprendiendo-programar-python,4.225369458128079,2436.0,32.95164112929567
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,data-lakes-data-warehouses-gcp,4.644549763033176,633.0,29.966862442409866
Financial Acumen for Non-Financial Managers,University of Pennsylvania,https://www.coursera.org/learn/finance-healthcare-managers,finance-healthcare-managers,4.072463768115942,207.0,21.73693044052276
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/python-statistics-financial-analysis,python-statistics-financial-analysis,4.363636363636363,1177.0,30.857774680195774
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,https://www.coursera.org/learn/autodesk-revit-architectural-design,autodesk-revit-architectural-design,4.7735191637630665,287.0,27.032250375561834
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,https://www.coursera.org/learn/leading-for-equity-diversity-inclusion,leading-for-equity-diversity-inclusion,4.78125,96.0,21.872836865969298
Budgeting and Scheduling Projects,"University of California, Irvine",https://www.coursera.org/learn/schedule-projects,schedule-projects,4.753946861763573,2597.0,37.37789387639904
Machine Learning for Business Professionals,Google Cloud,https://www.coursera.org/learn/machine-learning-business-professionals,machine-learning-business-professionals,4.576555023923445,2508.0,35.82362309138509
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,intro-accounting-data-analytics-visual,4.883720930232558,129.0,23.771679874317957
Financing and Investing in Infrastructure,Università Bocconi,https://www.coursera.org/learn/infrastructure-investing,infrastructure-investing,4.8359375,1024.0,33.52488472565143
Global Environmental Management,Technical University of Denmark (DTU),https://www.coursera.org/learn/global-environmental-management,global-environmental-management,4.677290836653387,753.0,30.988887012116898
Operations Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-operations-analytics,wharton-operations-analytics,4.6824324324324325,2368.0,36.38354513839215
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,https://www.coursera.org/learn/entrepreneurship-strategy,entrepreneurship-strategy,1.0,6.0,1.9459101490553132
The Art of Music Production,Berklee College of Music,https://www.coursera.org/learn/producing-music,producing-music,4.837083010085338,1289.0,34.64511124593709
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",https://www.coursera.org/learn/bayesian-statistics,bayesian-statistics,4.4457236842105265,1824.0,33.38442964480732
Introduction to Data Analytics,IBM,https://www.coursera.org/learn/introduction-to-data-analytics,introduction-to-data-analytics,4.777777777777778,54.0,19.14614744055514
Fundamentos de Excel para Negocios,Universidad Austral,https://www.coursera.org/learn/excel-para-negocios,excel-para-negocios,4.820714718352513,3302.0,39.06025763760466
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,gcp-infrastructure-scaling-automation,4.5952,1875.0,34.63354968978246
Introduction to Engineering Mechanics,Georgia Institute of Technology,https://www.coursera.org/learn/engineering-mechanics-statics,engineering-mechanics-statics,4.75792507204611,2082.0,36.3579910447316
